ComicID,CharacterID
195,157
195,317
195,244
195,397
195,1597
195,354
195,2519
195,8381
195,6172
195,8302
195,1046
195,7824
195,577
195,6170
195,203
195,4700
195,5007
195,202
195,5604
195,45
195,122
195,2111
195,367
195,78
195,6268
195,421
195,3092
195,281
195,2185
195,117
195,3060
195,36
195,17869
195,12331
195,3845
195,189
195,50394
195,221
195,380
195,11512
195,18812
195,960
195,4530
195,2243
195,2066
195,436
195,4382
195,1464
195,5626
195,6214
195,2295
195,290
195,5803
195,2515
195,4075
195,105
195,3088
195,6188
195,7101
195,688
195,3543
195,28363
195,8521
195,690
195,282
195,3115
195,233
195,154
195,644
195,732
195,13245
195,4433
195,2403
195,283
195,3113
195,17031
195,5006
195,333
195,3608
195,2297
195,473
195,2168
195,4081
195,2360
195,1250
195,514
195,108
195,284
195,7515
195,3697
195,904
195,646
195,2296
195,194
195,1709
195,9322
195,43
195,935
195,2940
195,5813
195,3061
195,1365
195,2263
195,13966
195,199
195,4415
195,3975
195,2610
195,311
195,689
195,11156
195,399
195,5441
195,686
195,1598
195,1760
195,9609
195,224
195,905
195,950
195,3025
195,7414
195,731
195,2159
195,913
195,211
195,444
195,4679
195,4821
195,8210
195,133
195,2344
195,149
195,862
195,3197
195,3231
195,6278
195,1194
195,36361
195,13243
195,1801
195,135
195,72
195,406
195,389
195,640
195,1223
195,1552
195,313
195,3131
195,4080
195,4828
195,698
195,1028
195,6477
195,25036
195,374
195,96
195,5262
195,9783
195,1703
195,4910
195,1767
195,1941
195,11521
195,17873
195,2108
195,204
195,4600
195,648
195,3536
195,6302
195,638
195,1677
195,2242
195,205
195,606
195,537
195,959
195,3651
195,9979
195,1745
195,2604
195,2346
195,8704
195,3089
195,6021
195,10720
195,390
195,4701
195,200
195,2210
195,392
195,2187
195,12628
195,1708
195,3834
195,665
195,312
195,393
195,106
195,210
195,645
195,5280
195,3502
195,15395
195,206
195,4811
195,8412
195,4748
195,17500
195,2110
195,3749
195,1082
195,1627
196,164
196,163
196,162
196,165
196,166
196,106
200,193
200,48
200,310
200,440
200,2271
200,50
200,52
200,1595
200,97
200,49
200,35
200,34
200,37
200,29
200,2253
200,130
200,9579
200,350
200,45
200,1283
200,36
200,13220
200,43
200,84
200,1291
200,223
200,336
200,96
200,375
200,106
200,1082
201,170
201,88
201,15429
201,171
201,179
201,172
201,174
201,167
201,414
202,7282
202,209
202,1497
202,314
202,1131
202,285
202,13869
202,105
202,772
202,96
202,42666
203,209
203,772
204,719
204,493
204,209
204,13869
204,772
204,733
205,209
205,772
205,733
208,193
208,337
208,48
208,719
208,18923
208,2218
208,6155
208,1551
208,51
208,97
208,35
208,8543
208,130
208,9579
208,1481
208,1479
208,6431
208,5129
208,105
208,43
208,842
208,1302
208,2220
208,1291
208,25036
208,96
208,51203
208,375
209,5559
209,5556
209,18923
209,5954
209,2218
209,1299
209,1551
209,5561
209,5562
209,50
209,171
209,5957
209,5129
209,363
209,5131
209,43
209,842
209,2220
209,5132
209,5563
209,5955
209,336
209,96
209,51203
209,2226
